measurementpoint.flowvalue,measurementpoint.speedvalue,measurementpoint.ninputs,measurementpoint.sdeviation,measurementpoint.measurementdatetime,measurementpoint.reference
960.0,104.5,0.0,,2019-11-17 22:17:00,RWS01_MONIBAS_0021hrr0597ra
720.0,105.5,0.0,,2019-11-17 22:23:00,RWS01_MONIBAS_0021hrr0597ra
960.0,103.0,0.0,,2019-11-17 22:29:00,RWS01_MONIBAS_0021hrr0597ra
600.0,103.5,0.0,,2019-11-17 22:35:00,RWS01_MONIBAS_0021hrr0597ra
780.0,107.0,0.0,,2019-11-17 22:41:00,RWS01_MONIBAS_0021hrr0597ra
900.0,101.0,0.0,,2019-11-17 22:46:00,RWS01_MONIBAS_0021hrr0597ra
780.0,102.0,0.0,,2019-11-17 22:52:00,RWS01_MONIBAS_0021hrr0597ra
420.0,103.5,0.0,,2019-11-17 22:58:00,RWS01_MONIBAS_0021hrr0597ra
480.0,101.5,0.0,,2019-11-17 23:04:00,RWS01_MONIBAS_0021hrr0597ra
360.0,98.5,0.0,,2019-11-17 23:10:00,RWS01_MONIBAS_0021hrr0597ra
540.0,103.0,0.0,,2019-11-17 23:15:00,RWS01_MONIBAS_0021hrr0597ra
540.0,110.0,0.0,,2019-11-17 23:21:00,RWS01_MONIBAS_0021hrr0597ra
420.0,114.0,0.0,,2019-11-17 23:27:00,RWS01_MONIBAS_0021hrr0597ra
600.0,114.0,0.0,,2019-11-17 23:33:00,RWS01_MONIBAS_0021hrr0597ra
540.0,102.0,0.0,,2019-11-17 23:39:00,RWS01_MONIBAS_0021hrr0597ra
240.0,96.0,0.0,,2019-11-17 23:44:00,RWS01_MONIBAS_0021hrr0597ra
420.0,96.5,0.0,,2019-11-17 23:50:00,RWS01_MONIBAS_0021hrr0597ra
420.0,105.5,0.0,,2019-11-17 23:56:00,RWS01_MONIBAS_0021hrr0597ra
5880.0,94.33333333333333,0.0,,2019-11-25 14:43:00,RWS01_MONIBAS_0021hrr0597ra
4620.0,79.5,0.0,,2019-11-25 14:49:00,RWS01_MONIBAS_0021hrr0597ra
4260.0,82.0,0.0,,2019-11-25 14:54:00,RWS01_MONIBAS_0021hrr0597ra
5100.0,92.33333333333333,0.0,,2019-11-25 15:00:00,RWS01_MONIBAS_0021hrr0597ra
5280.0,95.66666666666667,0.0,,2019-11-25 15:06:00,RWS01_MONIBAS_0021hrr0597ra
2160.0,54.0,0.0,,2019-11-25 15:12:00,RWS01_MONIBAS_0021hrr0597ra
3660.0,94.66666666666667,0.0,,2019-11-25 15:17:00,RWS01_MONIBAS_0021hrr0597ra
4440.0,97.0,0.0,,2019-11-25 15:23:00,RWS01_MONIBAS_0021hrr0597ra
4560.0,96.66666666666667,0.0,,2019-11-25 15:29:00,RWS01_MONIBAS_0021hrr0597ra
5520.0,90.66666666666667,0.0,,2019-11-25 15:35:00,RWS01_MONIBAS_0021hrr0597ra
5400.0,93.33333333333333,0.0,,2019-11-25 15:41:00,RWS01_MONIBAS_0021hrr0597ra
4200.0,81.0,0.0,,2019-11-25 15:46:00,RWS01_MONIBAS_0021hrr0597ra
3300.0,86.0,0.0,,2019-11-25 15:52:00,RWS01_MONIBAS_0021hrr0597ra
3420.0,78.5,0.0,,2019-11-25 15:58:00,RWS01_MONIBAS_0021hrr0597ra
5340.0,94.33333333333333,0.0,,2019-11-25 16:04:00,RWS01_MONIBAS_0021hrr0597ra
3960.0,76.0,0.0,,2019-11-25 16:09:00,RWS01_MONIBAS_0021hrr0597ra
2100.0,56.0,0.0,,2019-11-25 16:15:00,RWS01_MONIBAS_0021hrr0597ra
5340.0,80.0,0.0,,2019-11-25 16:21:00,RWS01_MONIBAS_0021hrr0597ra
4500.0,94.66666666666667,0.0,,2019-11-25 16:27:00,RWS01_MONIBAS_0021hrr0597ra
5760.0,96.0,0.0,,2019-11-25 16:33:00,RWS01_MONIBAS_0021hrr0597ra
5400.0,97.66666666666667,0.0,,2019-11-25 16:38:00,RWS01_MONIBAS_0021hrr0597ra
1980.0,59.0,0.0,,2019-11-25 16:44:00,RWS01_MONIBAS_0021hrr0597ra
